Date,Xt
2023-12-01,77.54095238
2024-01-01,79.11
2024-02-01,81.79571429
2024-03-01,84.96142857
2024-04-01,88.97454545
2024-05-01,83.05391304
2024-06-01,82.9175
2024-07-01,84.04869565
2024-08-01,79.01863636
2024-09-01,73.05761905
2024-10-01,75.26652174
2024-11-01,73.50857143
2024-12-01,73.22772727
2025-01-01,78.19391304
2025-02-01,75.193
2025-03-01,71.74142857
2025-04-01,66.92727273
2025-05-01,64.09272727
2025-06-01,69.84666667
2025-07-01,69.56478261
2025-08-01,67.24428571
2025-09-01,67.60909091
2025-10-01,63.98130435
2025-11-01,63.6935
2025-12-01,61.81090909
2026-01-01,64.59409091
